Q14537006,4315540-6
Q1236695,4244842-6
Q87880702,1084247690
Q873562,7568067-1
Q315694,4414812-4
Q513300,4069211-5
Q170495,4263672-3
Q359242,7540811-9
Q1751141,4238308-0
Q1385934,1076340199
Q3585434,4760231-4
Q819898,4788083-1
Q1897813,4368129-3
Q695038,4112829-1
Q225459,4358630-2
Q615183,7618873-5
Q1281237,4320942-7
Q254476,4410516-2
Q700199,4272995-6
Q1131208,4071060-9
Q616790,4200184-5
Q573881,4204237-9
Q2097254,4595098-2
Q153951,4278599-6
Q279089,4222311-8
Q316021,4346375-7
Q3983259,1023093537
Q2241975,4598467-0
Q1348242,4229792-8
Q677383,4264411-2
Q671066,4367719-8
Q679101,4192773-4
Q5104654,1081554452
Q66507250,1072252481
Q157229,4267117-6
Q15825826,7603227-9
Q22720,4134276-8
Q1649692,4609112-9
Q673223,7554320-5
Q5471,1092204164
Q69087314,4070554-7
Q923702,4232545-6
Q669544,4074052-3
Q167231,4223469-4
Q1776168,4471294-7
Q661125,4224871-1
Q25480587,1084249723
Q215023,4497285-4
Q378143,4645953-4
Q180274,4069930-4
Q24719360,102828909X
Q1618736,7754216-2
Q1710826,4837678-4
Q1257684,4639595-7
Q1921157,4091345-4
Q936545,4250453-3
Q252555,4218076-4
Q875365,4594885-9
Q230364,4664440-4
Q1903216,7785596-6
Q135737,4204759-6
Q391274,4436150-6
Q41225,4223680-0
Q262769,4113632-9
Q450953,1028079885
Q5924,4104214-1
Q57341,4125053-9
Q701567,4199339-1
Q106499996,1023118130
Q1236627,4587242-9
Q1236544,4341611-1
Q902532,4193177-4
Q2244330,4528346-1
Q1853707,4682298-7
Q875735,4098070-4
Q630576,4504194-5
Q686773,104365559X
Q1766940,4389385-5
Q810139,4075796-1
Q2287001,4236652-5
Q254650,7648338-1
Q3674338,4446799-0
Q2413504,4193854-9
Q2324837,4482874-3
Q2465868,7757671-8
Q1699871,4348588-1
Q1542156,4222332-5
Q1447091,4527519-1
Q131330,4117646-7
Q3531558,4393732-9
Q1015107,7572082-6
Q5949,4256514-5
Q402221,4357932-2
Q323756,7555101-9
Q2196869,4603445-6
Q15042373,7625753-8
Q1582758,4509353-2
Q151545,4122665-3
Q571282,4075347-5
Q517334,4220214-0
Q913182,4256398-7
Q674472,4123332-3
Q278908,4069201-2
Q44562,4212398-7
Q295844,4430157-1
Q666960,4122000-6
Q875568,4581892-7
Q15130968,7691985-7
Q15088971,7599669-8
Q86458101,7833001-4
Q1636460,4425713-2
Q15848648,4718325-1
Q15803946,7756486-8
Q1877938,4765153-2
Q1362663,4305695-7
Q5933,4206437-5
Q207486,4119785-9
Q647987,4106691-1
Q32653910,4212264-8
Q1546811,4496763-9
Q708532,4195387-3
Q5419362,4071989-3
Q250212,4132384-1
Q542329,4051084-0
Q808382,4821045-6
Q246474,4271001-7
Q1548233,7844419-6
Q610961,7740035-5
Q33200,4070108-6
Q154996,4122902-2
Q1287889,4194515-3
Q259799,4104570-1
Q2407092,4647158-3
Q2261322,4509621-1
Q2776250,4363430-8
Q41276709,4541734-9
Q225471,7517061-9
Q693869,4270903-9
Q1991117,4223589-3
Q2542886,4308121-6
Q3983228,4501844-3
Q437807,4683710-3
Q262306,4227471-0
Q1236564,4759120-1
Q191739,4097998-2
Q684119,4657526-1
Q390150,4306895-9
Q944225,4466667-6
Q2942355,4398519-1
Q872821,4270744-4
Q99689871,4796465-0
Q1488613,4272463-6
Q205380,4117859-2
Q458439,4393279-4
Q598352,4237104-1
Q127426,7738806-9
Q43473,4386310-3
Q322853,4289347-1
Q4176,4122597-1
Q686109,4222392-1
Q611944,4069037-4
Q4055,4409302-0
Q535443,4335629-1
Q28805444,4222282-5
Q686664,4248427-3
Q688315,4196596-6
Q638519,4243639-4
Q1690839,4274055-1
Q2244534,7665776-0
Q2031943,4716285-5
Q819742,4543717-8
Q1545815,7704944-5
Q1441816,4495218-1
Q538370,4418011-1
Q2462558,4307225-2
Q3047420,4307222-7
Q880354,4336926-1
Q205136,4224747-0
Q2942514,4754826-5
Q314092,4370404-9
Q143463,4297022-2
Q170123,4267115-2
Q179062,4103202-0
Q753721,4251533-6
Q61962413,4468106-9
Q5901,4068763-6
Q2240814,4231815-4
Q2204013,4486270-2
Q10924,4253825-7
Q1744339,4796483-2
Q279402,4359256-9
Q875317,4317974-5
Q155743,4526471-5
Q878372,4323189-5
Q3916007,4215003-6
Q1260885,4318293-8
Q1679537,1244927392
Q2316162,4447660-7
Q2095189,4581807-1
Q323556,4361353-6
Q963954,4075797-3
Q267182,4195250-9
Q2024749,4597714-8
Q375042,4429382-3
Q49231459,7674347-0
Q2321283,4366980-3
Q1246236,7674353-6
Q12512,4076822-3
Q231699,4262377-7
Q186282,4228647-5
Q15782757,4107883-4
Q84090,4124075-3
Q253663,4513905-2
Q37200,4093545-0
Q5920,4416535-3
Q1571657,4302608-4
Q202902,4361287-8
Q280268,4194773-3
Q321819,4260256-7
Q745460,4116639-5
Q94744,4068523-8
Q2981,4075869-2
Q5908,4126584-1
Q1649788,4225189-8
Q18068,4275418-5
Q1330584,4463440-7
Q1075988,4075873-4
Q846365,4408878-4
Q694252,4063512-0
Q688472,4410349-9
Q661752,4389935-3
Q2323242,4320056-4
Q89415012,7657656-5
Q12068168,4449503-1
Q1236551,4386852-6
Q1563071,4608000-4
Q704346,4508140-2
Q2956755,4487616-6
Q798175,4320189-1
Q301607,4267676-9
Q2320421,4536022-4
Q668341,4129551-1
Q133274,4074990-3
Q2317925,4208518-4
Q18571826,7641014-6
Q684506,4227812-0
Q2744847,4776590-2
Q1466926,4578352-4
Q1067803,4600803-2
Q2251842,4757119-6
Q638250,4234305-7
Q34359516,4392610-1
Q564532,4312579-7
Q592392,4125067-9
Q458410,4528570-6
Q933903,4449610-2
Q383958,4126204-9
Q1508735,4353468-5
Q6456,4585700-3
Q1556432,4202685-4
Q2327461,4340705-5
Q167314,4256724-5
Q111097904,4821086-9
Q113045037,4222390-8
Q810103,4406254-0
Q694286,4300889-6
Q670913,4524140-5
Q1888459,7614989-4
Q1268593,4279144-3
Q55178541,4307489-3
Q252166,4216592-1
Q707357,4224099-2
Q231606,4416448-8
Q16857014,7607736-6
Q1123180,4224926-0
Q1775206,4353411-9
Q316414,4136982-8
Q1591482,4269790-6
Q1733954,4293003-0
Q2140145,4402265-7
Q1823413,4479364-9
Q200959,4256673-3
Q2312076,7605552-8
Q896127,4755864-7
Q1230608,4310277-3
Q686787,4676488-4
Q877030,4237478-9
Q1265636,4236983-6
Q1559661,4631731-4
Q3585357,7524803-7
Q3668820,4226848-5
Q830807,4221903-6
Q126327,4485730-5
Q172988,4078763-1
Q519613,4114392-9
Q57262792,4439652-1
Q5943,4079282-1
Q732511,4097997-0
Q2157592,4748080-4
Q151330,4132604-0
Q282554,4245259-4
Q2943,4104970-6
Q258908,4224677-5
Q895479,4368952-8
Q1419675,4842959-4
Q679292,4051421-3
Q1573417,4074362-7
Q170402,4468631-6
Q1282278,4223844-4
Q490497,7527117-5
Q5785797,4745425-8
Q666935,4223029-9
Q201428,4277998-4
Q317912,4561441-6
Q925864,4262062-4
Q1236685,4352131-9
Q666479,4120970-9
Q198106,4258855-8
Q1736086,4214987-3
